,index,title,price,deal,location,shop,url,profit,tmall,mall,brand,pricelevel,province,city
3544,3617.0,小蜜坊 变色唇膏口红润唇膏 变色 保湿滋润补水不易脱色美唇棒,69.9,5142.0,上海,小蜜坊旗舰店,//detail.tmall.com/item.htm?id=40778108282&ns=1&abbucket=13,359425.80000000005,天猫,商家,其他,60-80,上海,上海
3545,3618.0,GOPAS/高柏诗源色无界唇膏保湿滋润防干裂不易脱色粘杯咬唇妆口红,99.0,189.0,上海,gopas高柏诗美妮兰专卖店,//detail.tmall.com/item.htm?id=555886898273&ns=1&abbucket=13,18711.0,天猫,商家,其他,80-100,上海,上海
3546,3619.0,美宝莲口红干枫叶女皇色红色雾感哑光唇膏补水保湿正品官方旗舰店,93.0,273.0,上海,美宝莲美洁金信专卖店,//detail.tmall.com/item.htm?id=546097093640&ns=1&abbucket=13,25389.0,天猫,商家,Maybelline/美宝莲,80-100,上海,上海
3548,3621.0,优然口红咬唇润唇膏持久保湿滋润不脱色防水不沾杯豆沙色姨妈红,19.9,222.0,广东 深圳,优然化妆品旗舰店,//detail.tmall.com/item.htm?id=535750255904&ns=1&abbucket=13,4417.799999999999,天猫,商家,其他,0-20,广东, 深圳
3550,3623.0,【直营】BBIA 丝绒哑光雾面口红/唇膏,69.0,534.0,浙江 杭州,天猫国际官方直营,//detail.tmall.com/item.htm?id=553845315049&ns=1&abbucket=13,36846.0,天猫,商家,其他,60-80,浙江, 杭州
3563,3636.0,猫语玫瑰变色唇膏女 保湿滋润补水果冻口红炫彩学生修复润唇膏,66.0,163.0,浙江 杭州,猫语玫瑰旗舰店,//detail.tmall.com/item.htm?id=39933469081&ns=1&abbucket=13,10758.0,天猫,商家,其他,60-80,浙江, 杭州
3566,3639.0,官方防伪仙宝丽黄金水果专柜正品SS088红萝卜素健康口红3.6g,147.0,61.0,湖南 长沙,美泰化妆品专营店,//detail.tmall.com/item.htm?id=41875857670&ns=1&abbucket=13,8967.0,天猫,商家,其他,140-160,湖南, 长沙
3569,3642.0,意大利KIKO口红唇膏9系4系持久滋润不脱色姨妈色豆沙色407#415#,49.0,998.0,香港 香港岛,优合良行海外专营店,//detail.tmall.com/item.htm?id=554293561892&ns=1&abbucket=13,48902.0,天猫,商家,其他,40-60,香港, 香港岛
3575,3648.0,卡姿兰口红正品专柜橘红色豆沙色套装清雾感补水星空学生款限量版,109.0,131.0,江苏 常州,卡姿兰诗唯雅专卖店,//detail.tmall.com/item.htm?id=565067098479&ns=1&abbucket=13,14279.0,天猫,商家,其他,100-120,江苏, 常州
3584,3657.0,AloBon/雅邦胡萝卜素口红保湿不易脱色滋润健康学生装护唇温正品,29.9,871.0,广东 深圳,雅邦化妆品旗舰店,//detail.tmall.com/item.htm?id=522894051127&ns=1&abbucket=13,26042.899999999998,天猫,商家,其他,20-40,广东, 深圳
