,index,title,price,deal,location,shop,url,profit,tmall,mall,brand,pricelevel
43,44.0,theSAEM得鲜口红正品持久保湿不容易脱色姨妈豆沙梅子色哑光唇膏,59.0,60142.0,浙江 杭州,thesaem得鲜旗舰店,//detail.tmall.com/item.htm?id=529490016681&ns=1&abbucket=13,3548378.0,天猫,商家,其他,40-60
45,46.0,顺丰包邮迪奥Dior限定版蓝金唇膏口红套装套盒 520#999#999哑光,538.0,228.0,北京,juxinru_amy,//item.taobao.com/item.htm?id=554694547369&ns=1&abbucket=13#detail,122664.0,其他,个人,Dior/迪奥,400以上
46,47.0,肌肤之钥CPB口红瑰丽唇膏4g 持久不脱色 滋润显色易上色专柜正品,660.0,440.0,浙江 杭州,肌肤之钥官方旗舰店,//detail.tmall.com/item.htm?id=533073361276&ns=1&abbucket=13,290400.0,天猫,商家,其他,400以上
47,48.0,菲美人迷情雾哑光口红滋润持久不脱色易上色彩妆唇膏唇釉正品包邮,30.0,2.0,广东 东莞,美奇氏,https://click.simba.taobao.com/cc_im?p=%BF%DA%BA%EC&s=1038763443&k=557&e=kc8lHUuQjqlTtyyVm4RKRZ7ivSf%2BkfpEqHN6tRXaPrV0Ot%2BCqO%2F%2F1evTcWSJUcw5Xi3H7dvOzsy0c0Vt8DbhYtRvH9ueoOuK4xb3txDs165tuOwXUR7ozfO7IaexWePCt0C1w5xxqW1uIA6a6aKOSbmxPNFRkkCQ7L2OVaspRwYhLbzK%2BqhynmXgUMf3GEpsCbXqs4jgmouisKxWgBVFpZ6ClJRJ%2Bjp0xwmkVEpdSh0Nvenpae0Z9BG45YRVGp61SCsHoqZsjHDv2qi9vOQCdlkkHNadyWIFIAl2364he6XYxKM4%2FgD1QazGFWOKETJqg6Q%2FmOGWMgaEIRyI4tmc1kQd82JH5qGsnC3%2B7i4ZVBsqRXpJY4ff8kXkamtHRIw6LMGu7PinUAFBeG3fcZwkLaoPSUVrEAosMuw%2FbHQ%2Bs1fCXS2jSRPXPRBmHjyDmPhChg51rtBD%2BqVHGMA3yIYRel6MI6Y8W4ymEu6mxNxLyZ04QfezgXGCGQDZ1Dscn2uT4%2F2QEKLshRl8ePZJpKKJyJCD5Ctq%2FUBjNIVPSNA5Crk%3D#detail,60.0,其他,个人,其他,20-40
48,49.0,【YIKA】正品韩粉世家星光口红笔 持久保湿不脱色防水不沾杯唇膏,69.0,41.0,上海,yika时尚,https://click.simba.taobao.com/cc_im?p=%BF%DA%BA%EC&s=1038763443&k=557&e=QmMT3hx%2Bl1FTtyyVm4RKRZ7ivSf%2BkfpEqHN6tRXaPrV0Ot%2BCqO%2F%2F1evTcWSJUcw5Xi3H7dvOzszzv5p3AsxvI7Si6fOwjLW%2FRH98nwr8GgJtuOwXUR7ozfO7IaexWePCt0C1w5xxqW1uIA6a6aKOSbmxPNFRkkCQ7L2OVaspRwYhLbzK%2BqhynmXgUMf3GEpsCbXqs4jgmouisKxWgBVFpZ6ClJRJ%2Bjp0xwmkVEpdSh0Nvenpae0Z9BG45YRVGp61SCsHoqZsjHDv2qi9vOQCdlkkHNadyWIFIAl2364he6XYxKM4%2FgD1QazGFWOKETJqg6Q%2FmOGWMgaEIRyI4tmc1jaPe57fJh9PoFZ2ugL9F9BjMTImXCWgT82zjghkWIWh0lA8xqslzpwxGXvkWOnC9uEOouqQHAjbmDH47sRO4iwqhHMOZhXRQpYz1lxyUp9cZUmTCbauFlQ5TPsO0lJ1CqFd4HYUn7lsCJ%2FBhnysyvrpHfT6PBNU88EEg0PvttRHRVgFrWdDjCMGDD7wNJEcQdvvnJxtnOaqAPS40n9F7gY%3D#detail,2829.0,其他,个人,其他,60-80
49,50.0,曼妮芬美妆丝绒情话哑光唇膏法国原装口红持久保湿雾面显色磁力管,139.0,400.0,广东 深圳,曼妮芬化妆品旗舰店,https://click.simba.taobao.com/cc_im?p=%BF%DA%BA%EC&s=1038763443&k=557&e=dckmuumDGhVTtyyVm4RKRZ7ivSf%2BkfpEqHN6tRXaPrV0Ot%2BCqO%2F%2F1evTcWSJUcw5Xi3H7dvOzszlEFItQvaL9fBb7KbLJwYokhI5RGwzSqptuOwXUR7ozfO7IaexWePCt0C1w5xxqW1uIA6a6aKOSbmxPNFRkkCQ7L2OVaspRwYhLbzK%2BqhynmXgUMf3GEpsCbXqs4jgmouisKxWgBVFpZ6ClJRJ%2Bjp0xwmkVEpdSh0Nvenpae0Z9BG45YRVGp61SCsHoqZsjHDv2qi9vOQCdlkkHNadyWIFIAl2364he6XYxKM4%2FgD1QazGFWOKETJqg6Q%2FmOGWMgaEIRyI4tmc1kQd82JH5qGsiFPdNZEA2LmcW3lzcYepQe1tfesPMXyKmEU5FSa19PZf6xNjSowZL2jX7Yzkh9S%2BMQHbYR6HVibCXS2jSRPXPQXG3rXk8BYzr40isIUmUDNZQYprZG4TiNKvJHaMKN0dGJ67H%2BBu%2FjSIU901kQDYufP2Yye5KpFpi0TgALumCqHlN%2B3sNt0ORPmGH6He8sea9TPCiyyl7k8%3D,55600.0,其他,商家,其他,120-140
50,78.0,现货Pat Mcgrath哑光口红唇膏flesh3/1995/omi/elson/obsessed433,280.0,274.0,安徽 安庆,731741032qq,//item.taobao.com/item.htm?id=556341819218&ns=1&abbucket=13#detail,76720.0,其他,个人,其他,280-300
51,83.0,蕾哈娜 現貨 英代 Fenty beauty 高顯色啞光口紅唇膏 日日婆,159.0,148.0,广东 深圳,iceling22,//item.taobao.com/item.htm?id=566190407366&ns=1&abbucket=13#detail,23532.0,其他,个人,其他,140-160
52,84.0,洛梵诗顾里色口红持久保湿哑光不脱色韩国学生橘色橘红色防水滋润,45.0,4181.0,广东 广州,洛梵诗旗舰店,//detail.tmall.com/item.htm?id=565210519403&ns=1&abbucket=13,188145.0,天猫,商家,其他,40-60
53,86.0,Chanel香奈儿口红正品专柜官方旗舰店打折43 58 #色号圣诞限量版,244.0,2979.0,香港 新界,依时国际化妆品海外专营店,//detail.tmall.com/item.htm?id=559886012486&ns=1&abbucket=13,726876.0,天猫,商家,Givency/纪梵希,240-260
